config,cycles,marked_return,open_position
"{""distances"": [2], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY""}",275,0.054217602,True
"{""distances"": [2], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY_MARGIN""}",275,0.054217602,True
"{""distances"": [3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY""}",9,-0.00268983,True
"{""distances"": [3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY_MARGIN""}",9,-0.00268983,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY""}",6731,0.954376737,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY_MARGIN""}",6684,0.949305897,True
"{""distances"": [1], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY""}",6428,0.896055743,True
"{""distances"": [1], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY_MARGIN""}",6428,0.896055743,True
"{""distances"": [2], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY""}",323,0.064816244,True
"{""distances"": [2], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY_MARGIN""}",323,0.064816244,True
"{""distances"": [3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY""}",15,-0.00089472,True
"{""distances"": [3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY_MARGIN""}",15,-0.00089472,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY""}",6428,0.896055743,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 240, ""score"": ""FREQUENCY_MARGIN""}",6255,0.865001443,True
"{""distances"": [1], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY""}",9540,1.591460766,True
"{""distances"": [1], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY_MARGIN""}",9540,1.591460766,True
"{""distances"": [2], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY""}",401,0.081589002,True
"{""distances"": [2], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY_MARGIN""}",401,0.081589002,True
"{""distances"": [3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY""}",3,-0.004481574,True
"{""distances"": [3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY_MARGIN""}",3,-0.004481574,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY""}",9489,1.578538017,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 360, ""score"": ""FREQUENCY_MARGIN""}",9276,1.53249439,True
"{""distances"": [1], ""lookback_minutes"": 120, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",6284,0.864896957,True
